# Matter power spectrum P(k) at redshift z=0.5
# for k=1.77112e-07 to 11.1874 h/Mpc,
# number of wavenumbers equal to 140
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.771118573855e-07       1.298115538055e+00 
       2.229706179926e-07       1.619247919388e+00 
       2.807033770744e-07       2.019823155580e+00 
       3.533846145754e-07       2.519494097086e+00 
       4.448848714260e-07       3.142775383522e+00 
       5.600768699610e-07       3.920246167941e+00 
       7.050950041520e-07       4.890050373569e+00 
       8.876620184561e-07       6.099768085163e+00 
       1.117500272119e-06       7.608749884071e+00 
       1.406849490257e-06       9.491028643103e+00 
       1.771118573855e-06       1.183895162252e+01 
       2.229706179926e-06       1.476771102333e+01 
       2.807033770744e-06       1.842099520853e+01 
       3.533846145754e-06       2.297803770286e+01 
       4.448848714260e-06       2.866240953366e+01 
       5.600768699610e-06       3.575298572373e+01 
       7.050950041520e-06       4.459762288613e+01 
       8.876620184561e-06       5.563021681294e+01 
       1.117500272119e-05       6.939197268491e+01 
       1.406849490257e-05       8.655792303568e+01 
       1.771118573855e-05       1.079699779242e+02 
       2.229706179926e-05       1.346780959739e+02 
       2.807033770744e-05       1.679915315156e+02 
       3.533846145754e-05       2.095425443242e+02 
       4.448848714260e-05       2.613654459569e+02 
       5.600768699610e-05       3.259943656347e+02 
       7.050950041520e-05       4.065835608279e+02 
       8.876620184561e-05       5.070542786188e+02 
       1.117500272119e-04       6.322716970104e+02 
       1.406849490257e-04       7.882535847677e+02 
       1.771118573855e-04       9.824076763050e+02 
       2.229706179926e-04       1.223785254180e+03 
       2.807033770744e-04       1.523321439426e+03 
       3.533846145754e-04       1.894006862292e+03 
       4.448848714260e-04       2.350905665148e+03 
       5.600768699610e-04       2.910918622478e+03 
       7.050950041520e-04       3.592203229844e+03 
       8.876620184561e-04       4.413134131187e+03 
       1.117500272119e-03       5.390402577908e+03 
       1.406849490257e-03       6.535546610750e+03 
       1.771118573855e-03       7.849959530315e+03 
       2.229706179926e-03       9.318756581029e+03 
       2.807033770744e-03       1.090409084290e+04 
       3.533846145754e-03       1.253982060912e+04 
       4.448848714260e-03       1.412726426646e+04 
       5.600768699610e-03       1.553582778011e+04 
       7.050950041520e-03       1.660242787952e+04 
       8.876620184561e-03       1.716748069946e+04 
       1.117500272119e-02       1.705348976597e+04 
       1.406849490257e-02       1.611195645585e+04 
       1.771118573833e-02       1.426544438907e+04 
       2.229706097191e-02       1.160155020627e+04 
       2.806991402229e-02       8.503559767171e+03 
       3.529600246471e-02       5.688555489679e+03 
       4.344121998608e-02       3.957382725197e+03 
       4.979382011128e-02       3.338280380476e+03 
       5.452120642036e-02       3.106448254165e+03 
       5.850437928549e-02       2.979911988267e+03 
       6.210168907873e-02       2.877209783426e+03 
       6.547937886277e-02       2.766980020034e+03 
       6.872813495017e-02       2.636310620492e+03 
       7.190352450943e-02       2.481783224324e+03 
       7.504265076273e-02       2.305939916481e+03 
       7.817200634113e-02       2.115230049146e+03 
       8.131157164108e-02       1.918353306526e+03 
       8.447712648507e-02       1.724744988775e+03 
       8.768163624191e-02       1.543241052980e+03 
       9.093612487899e-02       1.381047749333e+03 
